Algorithm,Dataset,Mean(ms),Median(ms),Max(ms),Min(ms),Std(ms)
Hybrid_sort_700_run_sorted,half_sorted_1000,2.1650975239651293,2.142156008630991,2.385310974204913,2.1366759901866317,0.06582982670088802
Hybrid_sort_700_run_sorted,half_sorted_5000,13.160379838099647,13.159979018382728,13.264868000987917,13.119308976456523,0.022385121110312458
Hybrid_sort_700_run_sorted,half_sorted_10000,29.011487586581328,28.960708994418383,33.25025402591564,28.82946000318043,0.4337553533129337
Hybrid_sort_700_run_sorted,half_sorted_50000,178.1619057086334,177.49833600828424,188.61241498962045,176.33305600611493,2.172676115826218
Hybrid_sort_700_run_sorted,half_sorted_100000,384.4068180813779,382.5265150226187,398.0219090008177,379.9205469840672,4.603218442030923
Hybrid_sort_700_run_sorted,random_numbers_1000,2.247633232271788,2.2349180071614683,3.3968400093726814,2.224069001385942,0.11625948106719466
Hybrid_sort_700_run_sorted,random_numbers_5000,13.710651169248827,13.70574499014765,13.799157983157784,13.678543997230008,0.021247458763886885
Hybrid_sort_700_run_sorted,random_numbers_10000,30.20859490039363,30.133084015687928,33.038423978723586,30.053795024286956,0.3810550018213186
Hybrid_sort_700_run_sorted,random_numbers_50000,185.1000949808613,184.52015399816446,197.41119799437,183.27046898775734,2.340310326337241
Hybrid_sort_700_run_sorted,random_numbers_100000,399.2407911414789,397.0314630132634,415.1529840019066,393.7615350005217,5.202896571639855
Hybrid_sort_700_run_sorted,reverse_1000,1.7700270894265762,1.7554849910084158,3.1065949879121035,1.74728300771676,0.13514009568224308
Hybrid_sort_700_run_sorted,reverse_5000,10.198776656056218,10.195126000326127,10.509939980693161,10.175803996389732,0.032420536537538645
Hybrid_sort_700_run_sorted,reverse_10000,21.851913282951113,21.76381999743171,25.37767100147903,21.723015990573913,0.44589803937185185
Hybrid_sort_700_run_sorted,reverse_50000,122.288466303908,121.59516400424764,132.6132930116728,120.71519100572914,2.0602329320083466
Hybrid_sort_700_run_sorted,reverse_100000,259.7471305764177,257.9665910161566,274.75754998158664,255.26514399098232,3.9392216759202916
Hybrid_sort_700_run_sorted,Sorted_1000,0.11915222193688305,0.10947699774987996,0.9764739952515811,0.10813001426868141,0.0866343344502671
Hybrid_sort_700_run_sorted,Sorted_5000,0.561604525298915,0.5614050023723394,0.5686850054189563,0.5447549920063466,0.004710793096905853
Hybrid_sort_700_run_sorted,Sorted_10000,1.1271379104312134,1.1277990124654025,1.139036990934983,1.0886340169236064,0.006308050557966811
Hybrid_sort_700_run_sorted,Sorted_50000,5.64257394918711,5.645395023748279,5.701193993445486,5.428918986581266,0.0292783385347964
Hybrid_sort_700_run_sorted,Sorted_100000,11.371096384457568,11.367709987098351,11.458888999186456,10.903767019044608,0.06605628151727758
tim_run_detect_sorted,half_sorted_1000,1.9017134647877567,1.8944670155178756,2.6381239877082407,1.8833299982361495,0.07451492240853538
tim_run_detect_sorted,half_sorted_5000,12.445373030560505,12.443871994037181,12.478025979362428,12.426089000655338,0.008750084164273114
tim_run_detect_sorted,half_sorted_10000,27.245957102459585,27.24619599757716,27.298279019305483,27.179294993402436,0.022419600109460126
tim_run_detect_sorted,half_sorted_50000,165.27857274731923,164.95937199215405,171.60452998359688,164.3035500019323,1.0260645619320623
tim_run_detect_sorted,half_sorted_100000,358.4925795128014,358.31989799044095,374.27928199758753,355.23934502271004,3.298675912335468
tim_run_detect_sorted,random_numbers_1000,2.090332847655365,2.0777879981324077,3.2555479847360402,2.071728988084942,0.11775646303128413
tim_run_detect_sorted,random_numbers_5000,13.591021911130579,13.589589012553915,13.624548009829596,13.570176990469918,0.010994169852254099
tim_run_detect_sorted,random_numbers_10000,29.658640384723462,29.660137020982802,29.777631018077955,29.568829981144518,0.027736388727571226
tim_run_detect_sorted,random_numbers_50000,178.5990734657536,178.2679559837561,185.6629670073744,177.5834480067715,1.0953995841954876
tim_run_detect_sorted,random_numbers_100000,384.80239857583206,384.36759999603964,396.7484190070536,381.6690550011117,3.3821056889193906
tim_run_detect_sorted,reverse_1000,2.448034977229933,2.434128982713446,3.8373809948097914,2.425543003482744,0.14040654374698758
tim_run_detect_sorted,reverse_5000,13.397055294134212,13.38246901286766,14.333323983009905,13.361510005779564,0.09608125080341627
tim_run_detect_sorted,reverse_10000,27.936979483006372,27.922837994992733,28.260806982871145,27.881041984073818,0.06477941035412281
tim_run_detect_sorted,reverse_50000,154.47059279775735,154.25801102537662,158.83458699681796,154.01969300000928,0.6886183437937193
tim_run_detect_sorted,reverse_100000,322.8624883731663,322.2534320084378,331.7251409753226,321.0030130285304,2.302485125341994
tim_run_detect_sorted,Sorted_1000,0.11651811008859013,0.10982400272041559,0.6895869737491012,0.10730800568126142,0.057941077323346385
tim_run_detect_sorted,Sorted_5000,0.5617983938509956,0.5628789949696511,0.5715719889849424,0.5358879861887544,0.005545203231033269
tim_run_detect_sorted,Sorted_10000,1.1273936578425383,1.128889009123668,1.140802982263267,1.0798820003401488,0.006951295026348632
tim_run_detect_sorted,Sorted_50000,5.642199607488389,5.646056990372017,5.673224979545921,5.4118089901749045,0.030242194135329217
tim_run_detect_sorted,Sorted_100000,11.33844985760692,11.346509010763839,11.391829000785947,10.875718988245353,0.05525055794802389
mergeSort,half_sorted_1000,3.3416021826931024,3.333924018079415,4.0431160014122725,3.3211730187758803,0.07114196013399733
mergeSort,half_sorted_5000,19.97854097039589,19.962905993452296,21.5553869784344,19.907556008547544,0.16167473299603696
mergeSort,half_sorted_10000,42.68169271726764,42.674374009948224,42.91945000295527,42.58023900911212,0.05408055483762371
